maxRad minRad
[58.80427436740794] [31.45841444524091]
[60.37879399655414] [31.71713147489149]
[60.61822485918458] [31.84086788842964]
[53.35066263903493] [27.587959186153327]
[59.027477873023265] [31.816253581649296]
[60.03990258641679] [31.102445569244907]
[64.53642816578235] [34.311980125393426]
[59.15008872888177] [30.729025185922087]
[56.71647493751299] [29.62110427834195]
[58.06083738098326] [29.51260887335753]
[60.116732563201474] [31.232324776184445]
[60.10193625794052] [31.813530463405826]
